Provincia,Canton,Parroquia,Clave_Ubicacion
MANABI,PUERTO LOPEZ,MACHALILLA,MANABI - PUERTO LOPEZ - MACHALILLA
MANABI,PUERTO LOPEZ,SALANGO,MANABI - PUERTO LOPEZ - SALANGO
MANABI,FLAVIO ALFARO,FLAVIO ALFARO,MANABI - FLAVIO ALFARO - FLAVIO ALFARO
MANABI,24 DE MAYO,NOBOA,MANABI - 24 DE MAYO - NOBOA
MANABI,SANTA ANA,LODANA,MANABI - SANTA ANA - LODANA
MANABI,PORTOVIEJO,RIOCHICO (RIO CHICO),MANABI - PORTOVIEJO - RIOCHICO (RIO CHICO)
MANABI,PORTOVIEJO,PUEBLO NUEVO,MANABI - PORTOVIEJO - PUEBLO NUEVO
MANABI,PUERTO LOPEZ,PUERTO LOPEZ,MANABI - PUERTO LOPEZ - PUERTO LOPEZ
MANABI,MANTA,TARQUI,MANABI - MANTA - TARQUI
MANABI,FLAVIO ALFARO,ZAPALLO,MANABI - FLAVIO ALFARO - ZAPALLO
MANABI,PEDERNALES,ATAHUALPA,MANABI - PEDERNALES - ATAHUALPA
MANABI,PICHINCHA,BARRAGANETE,MANABI - PICHINCHA - BARRAGANETE
MANABI,PORTOVIEJO,PORTOVIEJO,MANABI - PORTOVIEJO - PORTOVIEJO
MANABI,MONTECRISTI,GENERAL ELOY ALFARO,MANABI - MONTECRISTI - GENERAL ELOY ALFARO
MANABI,PORTOVIEJO,SAN PABLO,MANABI - PORTOVIEJO - SAN PABLO
MANABI,MONTECRISTI,EL COLORADO,MANABI - MONTECRISTI - EL COLORADO
MANABI,TOSAGUA,ANGEL PEDRO GILER (LA ESTANCILLA),MANABI - TOSAGUA - ANGEL PEDRO GILER (LA ESTANCILLA)
MANABI,MONTECRISTI,LA PILA,MANABI - MONTECRISTI - LA PILA
MANABI,PORTOVIEJO,COLÓN,MANABI - PORTOVIEJO - COLÓN
MANABI,SUCRE,BAHIA DE CARAQUEZ,MANABI - SUCRE - BAHIA DE CARAQUEZ
MANABI,MANTA,MANTA,MANABI - MANTA - MANTA
MANABI,BOLIVAR,CALCETA,MANABI - BOLIVAR - CALCETA
MANABI,SUCRE,LEONIDAS PLAZA GUTIERREZ,MANABI - SUCRE - LEONIDAS PLAZA GUTIERREZ
MANABI,CHONE,BOYACA,MANABI - CHONE - BOYACA
MANABI,EL CARMEN,EL CARMEN,MANABI - EL CARMEN - EL CARMEN
MANABI,PAJAN,CAMPOZANO (LA PALMA DE PAJAN),MANABI - PAJAN - CAMPOZANO (LA PALMA DE PAJAN)
MANABI,PORTOVIEJO,12 DE MARZO,MANABI - PORTOVIEJO - 12 DE MARZO
MANABI,PORTOVIEJO,CRUCITA,MANABI - PORTOVIEJO - CRUCITA
MANABI,SAN VICENTE,SAN VICENTE,MANABI - SAN VICENTE - SAN VICENTE
MANABI,MANTA,LOS ESTEROS,MANABI - MANTA - LOS ESTEROS
MANABI,CHONE,CONVENTO,MANABI - CHONE - CONVENTO
MANABI,PORTOVIEJO,ABDON CALDERON (SAN FRANCISCO),MANABI - PORTOVIEJO - ABDON CALDERON (SAN FRANCISCO)
MANABI,PICHINCHA,PICHINCHA,MANABI - PICHINCHA - PICHINCHA
MANABI,EL CARMEN,SAN PEDRO DE SUMA,MANABI - EL CARMEN - SAN PEDRO DE SUMA
MANABI,MONTECRISTI,MONTECRISTI,MANABI - MONTECRISTI - MONTECRISTI
MANABI,PEDERNALES,COJIMIES,MANABI - PEDERNALES - COJIMIES
MANABI,PORTOVIEJO,ALHAJUELA (BAJO GRANDE),MANABI - PORTOVIEJO - ALHAJUELA (BAJO GRANDE)
MANABI,SUCRE,CHARAPOTO,MANABI - SUCRE - CHARAPOTO
MANABI,PORTOVIEJO,18 DE OCTUBRE,MANABI - PORTOVIEJO - 18 DE OCTUBRE
MANABI,JAMA,JAMA,MANABI - JAMA - JAMA
MANABI,JIPIJAPA,PUERTO DE CAYO,MANABI - JIPIJAPA - PUERTO DE CAYO
MANABI,PAJAN,GUALE,MANABI - PAJAN - GUALE
MANABI,PAJAN,PAJAN,MANABI - PAJAN - PAJAN
MANABI,BOLIVAR,QUIROGA,MANABI - BOLIVAR - QUIROGA
MANABI,PORTOVIEJO,SAN PLACIDO,MANABI - PORTOVIEJO - SAN PLACIDO
MANABI,PORTOVIEJO,SIMON BOLIVAR,MANABI - PORTOVIEJO - SIMON BOLIVAR
MANABI,EL CARMEN,EL PARAISO LA 14 (CAB EN EL PARAISO),MANABI - EL CARMEN - EL PARAISO LA 14 (CAB EN EL PARAISO)
MANABI,FLAVIO ALFARO,SAN FRANCISCO DE NOVILLO (CAB. EN NOVILLO),MANABI - FLAVIO ALFARO - SAN FRANCISCO DE NOVILLO (CAB. EN NOVILLO)
MANABI,PORTOVIEJO,CHIRIJOS,MANABI - PORTOVIEJO - CHIRIJOS
MANABI,TOSAGUA,TOSAGUA,MANABI - TOSAGUA - TOSAGUA
MANABI,24 DE MAYO,ARQ. SIXTO DURAN BALLEN,MANABI - 24 DE MAYO - ARQ. SIXTO DURAN BALLEN
MANABI,PEDERNALES,PEDERNALES,MANABI - PEDERNALES - PEDERNALES
MANABI,CHONE,SAN ANTONIO,MANABI - CHONE - SAN ANTONIO
MANABI,PORTOVIEJO,ANDRÉS DE VERA,MANABI - PORTOVIEJO - ANDRÉS DE VERA
MANABI,MANTA,SAN MATEO,MANABI - MANTA - SAN MATEO
MANABI,PORTOVIEJO,FRANCISCO PACHECO,MANABI - PORTOVIEJO - FRANCISCO PACHECO
MANABI,MANTA,SAN LORENZO,MANABI - MANTA - SAN LORENZO
MANABI,CHONE,CANUTO,MANABI - CHONE - CANUTO
MANABI,JUNIN,JUNIN,MANABI - JUNIN - JUNIN
MANABI,JIPIJAPA,SAN LORENZO DE JIPIJAPA,MANABI - JIPIJAPA - SAN LORENZO DE JIPIJAPA
MANABI,SAN VICENTE,CANOA,MANABI - SAN VICENTE - CANOA
MANABI,SANTA ANA,SANTA ANA,MANABI - SANTA ANA - SANTA ANA
MANABI,JIPIJAPA,MANUEL INOCENCIO PARRALES Y GUALE,MANABI - JIPIJAPA - MANUEL INOCENCIO PARRALES Y GUALE
MANABI,CHONE,CHIBUNGA,MANABI - CHONE - CHIBUNGA
MANABI,PEDERNALES,10 DE AGOSTO,MANABI - PEDERNALES - 10 DE AGOSTO
MANABI,JARAMIJO,JARAMIJO,MANABI - JARAMIJO - JARAMIJO
MANABI,PAJAN,CASCOL,MANABI - PAJAN - CASCOL
MANABI,SANTA ANA,HONORATO VASQUEZ (CAB. EN VASQUEZ),MANABI - SANTA ANA - HONORATO VASQUEZ (CAB. EN VASQUEZ)
MANABI,SANTA ANA,SAN PABLO (CAB. EN PUEBLO NUEVO),MANABI - SANTA ANA - SAN PABLO (CAB. EN PUEBLO NUEVO)
MANABI,BOLIVAR,MEMBRILLO,MANABI - BOLIVAR - MEMBRILLO
MANABI,ROCAFUERTE,ROCAFUERTE,MANABI - ROCAFUERTE - ROCAFUERTE
MANABI,24 DE MAYO,SUCRE,MANABI - 24 DE MAYO - SUCRE
MANABI,CHONE,RICAURTE,MANABI - CHONE - RICAURTE
MANABI,EL CARMEN,WILFRIDO LOOR MOREIRA (MAICITO),MANABI - EL CARMEN - WILFRIDO LOOR MOREIRA (MAICITO)
MANABI,JIPIJAPA,DOCTOR MIGUEL MORÁN LUCIO,MANABI - JIPIJAPA - DOCTOR MIGUEL MORÁN LUCIO
MANABI,MANTA,ELOY ALFARO,MANABI - MANTA - ELOY ALFARO
MANABI,CHONE,ELOY ALFARO,MANABI - CHONE - ELOY ALFARO
MANABI,SANTA ANA,SANTA ANA DE VUELTA LARGA,MANABI - SANTA ANA - SANTA ANA DE VUELTA LARGA
MANABI,EL CARMEN,SANTA MARIA (CAB EN SANTA MARIA),MANABI - EL CARMEN - SANTA MARIA (CAB EN SANTA MARIA)
MANABI,MANTA,SANTA MARIANITA (BOCA DE PACOCHE),MANABI - MANTA - SANTA MARIANITA (BOCA DE PACOCHE)
MANABI,SANTA ANA,AYACUCHO,MANABI - SANTA ANA - AYACUCHO
MANABI,JIPIJAPA,JIPIJAPA,MANABI - JIPIJAPA - JIPIJAPA
MANABI,SANTA ANA,LA UNION,MANABI - SANTA ANA - LA UNION
MANABI,CHONE,CHONE,MANABI - CHONE - CHONE
MANABI,JIPIJAPA,PEDRO PABLO GOMEZ,MANABI - JIPIJAPA - PEDRO PABLO GOMEZ
MANABI,SUCRE,SAN ISIDRO,MANABI - SUCRE - SAN ISIDRO
MANABI,EL CARMEN,4 DE DICIEMBRE,MANABI - EL CARMEN - 4 DE DICIEMBRE
MANABI,OLMEDO,OLMEDO,MANABI - OLMEDO - OLMEDO
MANABI,CHONE,SANTA RITA,MANABI - CHONE - SANTA RITA
MANABI,JIPIJAPA,JULCUY,MANABI - JIPIJAPA - JULCUY
MANABI,24 DE MAYO,BELLAVISTA,MANABI - 24 DE MAYO - BELLAVISTA
MANABI,JIPIJAPA,AMERICA,MANABI - JIPIJAPA - AMERICA
MANABI,JIPIJAPA,MEMBRILLAL,MANABI - JIPIJAPA - MEMBRILLAL
MANABI,MONTECRISTI,LEONIDAS PROAÑO,MANABI - MONTECRISTI - LEONIDAS PROAÑO
MANABI,PAJAN,LASCANO,MANABI - PAJAN - LASCANO
MANABI,MONTECRISTI,ANÍBAL SAN ANDRÉS,MANABI - MONTECRISTI - ANÍBAL SAN ANDRÉS
MANABI,JIPIJAPA,LA UNION,MANABI - JIPIJAPA - LA UNION
MANABI,PORTOVIEJO,PICOAZA,MANABI - PORTOVIEJO - PICOAZA
MANABI,PICHINCHA,SAN SEBASTIAN,MANABI - PICHINCHA - SAN SEBASTIAN
MANABI,JIPIJAPA,EL ANEGADO (CAB. EN ELOY ALFARO),MANABI - JIPIJAPA - EL ANEGADO (CAB. EN ELOY ALFARO)
MANABI,TOSAGUA,BACHILLERO,MANABI - TOSAGUA - BACHILLERO
MANABI,ROCAFUERTE,SOSOTE,MANABI - ROCAFUERTE - SOSOTE
